The Input Data to the Controller and Out From Carla
x, y, yaw,v,t
-183.800217,80.200035,-1.570797,0.000000,0.016000
-183.800217,80.200035,-1.570797,0.000005,0.049000
-183.800217,80.200035,-1.570797,0.000007,0.082000
-183.800293,80.200302,-1.570822,-0.012259,0.115000
-183.800079,80.199081,-1.570637,0.025806,0.148000
-183.799820,80.198029,-1.570463,0.022956,0.181000
-183.799591,80.196953,-1.570298,0.025478,0.214000
-183.798767,80.193527,-1.569328,0.118472,0.247000
-183.795685,80.185867,-1.567056,0.248664,0.280000
-183.790726,80.173950,-1.563384,0.367668,0.313000
-183.782684,80.156944,-1.557474,0.499241,0.346000
-183.772491,80.138832,-1.550101,0.555527,0.379000
-183.759430,80.118210,-1.540740,0.640698,0.412000
-183.743103,80.095383,-1.529161,0.718906,0.445000
-183.725296,80.068138,-1.516316,0.880046,0.478000
-183.705978,80.035400,-1.503139,1.022067,0.511000
-183.686981,79.998085,-1.490692,1.171949,0.544000
-183.669098,79.956833,-1.479734,1.290102,0.577000
-183.652313,79.912895,-1.470240,1.371150,0.610000
-183.636658,79.867355,-1.462052,1.422146,0.643000
-183.622086,79.820732,-1.455089,1.454721,0.676000
-183.608612,79.773514,-1.449256,1.471636,0.709000
-183.596161,79.726089,-1.444439,1.475422,0.742000
-183.584702,79.678787,-1.440523,1.468696,0.775000
-183.574158,79.631859,-1.437390,1.453962,0.808000
-183.564453,79.585487,-1.434928,1.433531,0.841000
-183.555481,79.539780,-1.433034,1.409494,0.874000
-183.547180,79.494820,-1.431618,1.383647,0.907000
-183.539474,79.450600,-1.430600,1.357478,0.940000
-183.532288,79.407104,-1.429912,1.332203,0.973000
-183.525528,79.364296,-1.429497,1.308798,1.006000
-183.519196,79.322075,-1.429309,1.287995,1.039000
-183.513153,79.280350,-1.429309,1.270341,1.072000
-183.507431,79.239021,-1.429466,1.256218,1.105000
-183.501923,79.197975,-1.429752,1.245859,1.138000
-183.496613,79.157097,-1.430147,1.239321,1.171000
-183.491440,79.116264,-1.430633,1.236514,1.204000
-183.486404,79.075363,-1.431197,1.237211,1.237000
