The Out Data from the Controller and In to Carla
throttle_output,brake_output,steer_output
2.629004,0.000000,1.157936
1.197181,0.000000,1.189912
1.198445,0.000000,1.221888
1.209274,0.000000,1.254139
1.180874,0.000000,1.284268
1.184341,0.000000,1.314426
1.183623,0.000000,1.344634
1.113144,0.000000,1.366737
1.012814,0.000000,1.374917
0.922651,0.000000,1.368022
0.821816,0.000000,1.336894
0.780343,0.000000,1.288726
0.716307,0.000000,1.217673
0.657631,0.000000,1.120681
0.535013,0.000000,1.007470
0.427169,0.000000,0.830034
0.313859,0.000000,0.712013
0.225163,0.000000,0.605815
0.166078,0.000000,0.511528
0.129582,0.000000,0.427989
0.108186,0.000000,0.354698
0.098974,0.000000,0.291066
0.099989,0.000000,0.236233
0.108424,0.000000,0.189317
0.123887,0.000000,0.149377
0.143807,0.000000,0.115485
0.166256,0.000000,0.086762
0.189668,0.000000,0.062457
0.214131,0.000000,0.041875
0.237147,0.000000,0.024433
0.258729,0.000000,0.009624
0.278306,0.000000,-0.002922
0.296223,0.000000,-0.013577
0.310631,0.000000,-0.022582
0.322119,0.000000,-0.030210
0.330640,0.000000,-0.036623
0.336261,0.000000,-0.041978
0.339156,0.000000,-0.046388
0.339584,0.000000,-0.101311
0.339892,0.000000,-0.099869
0.336555,0.000000,-0.096649
0.331656,0.000000,-0.093189
0.325751,0.000000,-0.089666
0.320061,0.000000,-0.086137
0.313417,0.000000,-0.082630
0.306917,0.000000,-0.079144
0.301625,0.000000,-0.075739
0.296192,0.000000,-0.072406
0.292301,0.000000,-0.069182
0.288487,0.000000,-0.066070
0.286225,0.000000,-0.063070
0.284141,0.000000,-0.060210
0.283636,0.000000,-0.057486
0.283857,0.000000,-0.054887
0.283912,0.000000,-0.052416
0.285241,0.000000,-0.050108
0.286963,0.000000,-0.047907
0.288176,0.000000,-0.045811
0.290328,0.000000,-0.043834
0.292556,0.000000,-0.041939
0.293990,0.000000,-0.040176
0.296114,0.000000,-0.087394
0.299196,0.000000,-0.080897
0.300254,0.000000,-0.073526
0.301720,0.000000,-0.066759
0.302933,0.000000,-0.060684
0.303907,0.000000,-0.055269
0.303883,0.000000,-0.050436
0.304441,0.000000,-0.046116
0.304851,0.000000,-0.042263
0.305134,0.000000,-0.038820
0.304647,0.000000,-0.035724
0.304756,0.000000,-0.032966
0.304835,0.000000,-0.030465
0.304900,0.000000,-0.028237
0.304966,0.000000,-0.026225
0.305043,0.000000,-0.024411
0.305142,0.000000,-0.022762
0.305269,0.000000,-0.021275
0.305429,0.000000,-0.019930
0.305624,0.000000,-0.018709
0.305856,0.000000,-0.017596
0.306122,0.000000,-0.063190
0.307184,0.000000,-0.057166
0.307523,0.000000,-0.050247
0.307763,0.000000,-0.044033
0.307995,0.000000,-0.038611
0.308234,0.000000,-0.033908
0.308487,0.000000,-0.029828
0.308756,0.000000,-0.026291
0.309043,0.000000,-0.023234
0.310436,0.000000,-0.020587
0.309963,0.000000,-0.018299
0.311025,0.000000,-0.016308
0.311309,0.000000,-0.014591
0.311574,0.000000,-0.013107
0.311826,0.000000,-0.011818
0.312072,0.000000,-0.010691
0.313093,0.000000,-0.009702
0.313329,0.000000,-0.008867
0.313543,0.000000,-0.008117
0.314519,0.000000,-0.051787
0.315305,0.000000,-0.045987
0.315470,0.000000,-0.039324
0.316298,0.000000,-0.033415
0.316315,0.000000,-0.028357
0.317083,0.000000,-0.024071
0.317060,0.000000,-0.020423
0.317799,0.000000,-0.017344
0.317754,0.000000,-0.014735
0.317702,0.000000,-0.012544
0.318178,0.000000,-0.010690
0.318936,0.000000,-0.009122
0.318924,0.000000,-0.007812
0.319691,0.000000,-0.006707
0.320463,0.000000,-0.005770
0.320447,0.000000,-0.004976
0.321193,0.000000,-0.004319
0.321158,0.000000,-0.003759
0.321891,0.000000,-0.003302
0.322625,0.000000,-0.045187
0.323073,0.000000,-0.039499
0.323783,0.000000,-0.032962
0.324401,0.000000,-0.027250
0.324987,0.000000,-0.022426
0.324769,0.000000,-0.018429
0.325315,0.000000,-0.015105
0.325865,0.000000,-0.012349
0.325636,0.000000,-0.010062
0.326901,0.000000,-0.008189
0.327460,0.000000,-0.006637
0.327221,0.000000,-0.005374
0.327750,0.000000,-0.004322
0.328287,0.000000,-0.003461
0.328825,0.000000,-0.002757
0.329359,0.000000,-0.002177
0.329884,0.000000,-0.001729
0.330396,0.000000,-0.041555
0.331340,0.000000,-0.035851
0.331826,0.000000,-0.029314
0.332216,0.000000,-0.023679
0.332581,0.000000,-0.019018
0.332936,0.000000,-0.015187
0.333286,0.000000,-0.012068
0.334414,0.000000,-0.009520
0.333979,0.000000,-0.007471
0.335218,0.000000,-0.005797
0.335550,0.000000,-0.004468
0.335862,0.000000,-0.003381
0.336164,0.000000,-0.002515
0.337241,0.000000,-0.001823
0.337532,0.000000,-0.001275
0.337802,0.000000,-0.000827
0.338063,0.000000,-0.000487
0.339102,0.000000,-0.038558
0.339756,0.000000,-0.032884
0.339998,0.000000,-0.026409
0.340941,0.000000,-0.020867
0.341090,0.000000,-0.016368
0.342003,0.000000,-0.012744
0.342129,0.000000,-0.009827
0.343017,0.000000,-0.007501
0.343446,0.000000,-0.005658
0.343532,0.000000,-0.004193
0.344388,0.000000,-0.003040
0.344467,0.000000,-0.002120
0.345318,0.000000,-0.001411
0.345394,0.000000,-0.000856
0.346244,0.000000,-0.000424
0.347096,0.000000,-0.000078
0.347155,0.000000,-0.036369
0.348333,0.000000,-0.030682
0.349141,0.000000,-0.024215
0.349089,0.000000,-0.018757
0.349789,0.000000,-0.014384
0.350489,0.000000,-0.010926
0.351179,0.000000,-0.008196
0.351590,0.000000,-0.006059
0.352244,0.000000,-0.004398
0.352883,0.000000,-0.003101
0.352727,0.000000,-0.002089
0.353343,0.000000,-0.001318
0.353973,0.000000,-0.000733
0.354607,0.000000,-0.000275
0.355237,0.000000,0.000069
0.355857,0.000000,-0.034454
0.356791,0.000000,-0.028766
0.357366,0.000000,-0.022330
0.357877,0.000000,-0.016971
0.358366,0.000000,-0.012735
0.358847,0.000000,-0.009455
0.360098,0.000000,-0.006918
0.360480,0.000000,-0.004954
0.360900,0.000000,-0.003448
0.361301,0.000000,-0.002296
0.361694,0.000000,-0.001425
0.362864,0.000000,-0.000771
0.363248,0.000000,-0.000277
0.363607,0.000000,0.000085
0.363957,0.000000,-0.032701
0.365387,0.000000,-0.027026
0.365698,0.000000,-0.020671
0.365965,0.000000,-0.015417
0.367005,0.000000,-0.011339
0.367268,0.000000,-0.008209
0.368296,0.000000,-0.005837
0.368653,0.000000,-0.004042
0.368883,0.000000,-0.002697
0.369894,0.000000,-0.001684
0.370908,0.000000,-0.000931
0.371120,0.000000,-0.000368
0.372084,0.000000,0.000044
0.372255,0.000000,0.000341
0.373186,0.000000,-0.030956
0.374409,0.000000,-0.025356
0.374502,0.000000,-0.019082
0.375344,0.000000,-0.013947
0.376193,0.000000,-0.010034
0.376257,0.000000,-0.007080
0.377096,0.000000,-0.004889
0.378240,0.000000,-0.003247
0.378296,0.000000,-0.002049
0.379111,0.000000,-0.001180
0.379926,0.000000,-0.000540
0.380727,0.000000,-0.000082
0.381506,0.000000,0.000239
0.382258,0.000000,-0.029496
0.383278,0.000000,-0.023919
0.383909,0.000000,-0.017718
0.384500,0.000000,-0.012712
